	fixationN	duration	position	wordN	freq	freqClass	sentenceN	runN
36	5	322.565448754133	36.89023577053669	6	97.0	2	5	1
37	1	261.1282073997025	1.5	1	69974.0	5	6	1
38	2	167.23119076817272	7.619938149001006	2	45.0	2	6	1
39	3	242.24170145115312	12.759163050826054	3	1207.0	3	6	1
40	4	224.13899942737845	19.972049611591444	4	401.0	3	6	1
41	5	170.5882989433269	22.813567952914976	5	69974.0	5	6	1
42	6	197.54120766578163	29.765427074672395	6	40.0	2	6	1
43	7	285.9889296849014	34.785373284385734	7	26155.0	4	6	1
44	8	241.6686593047156	54.52979362824044	11	1635.0	3	6	1
45	9	320.1815957287161	60.050987497266384	12	201.0	2	6	1
46	1	315.02138414134413	1.5	1	69974.0	5	7	1
47	2	175.01081099209887	8.656883702248688	2	19.0	1	7	1
48	3	314.0913667832073	17.911654989040052	3	102.0	2	7	1
49	4	303.0466289780895	23.7783428151309	4	26155.0	4	7	1
50	5	269.2771246857807	31.11996803654172	6	4.0	1	7	1
51	1	243.72361437715003	0.5	1	23127.0	4	8	1
52	2	231.66505488924685	6.004260823217359	2	11.0	1	8	1
53	3	86.81757157470079	13.199043952392099	3	1.0	0	8	1
54	4	87.92419641404196	17.563739265126912	3	1.0	0	8	1
55	5	429.9430956561681	25.478456465695974	4	1.0	0	8	1
56	6	223.67176944789435	32.63379259758186	5	485.0	3	8	1
57	7	133.50568452076766	42.888486065322844	8	37.0	2	8	1
58	1	288.9761218646164	3.5	1	1.0	0	9	1
59	2	353.10932126953384	14.576485138122923	2	90.0	2	9	1
60	3	229.39412995587824	18.482909706443955	3	9816.0	4	9	1
61	4	146.8887783011173	28.48050653889227	5	7289.0	4	9	1
62	5	71.6740137576561	33.885698068438046	6	6.0	1	9	1
63	6	424.3236066335184	28.32321759945448	5	7289.0	4	9	1
64	7	120.90427654422462	54.0915066592802	9	1.0	0	9	1
65	1	296.61489551921034	1.5	1	69974.0	5	10	1
66	2	213.23789539279542	6.8785895577000815	2	8.0	1	10	1
67	3	336.1734844708579	16.209235150641586	3	39.0	2	10	1
68	4	258.13484334141896	25.947592862521677	4	83.0	2	10	1
69	5	182.87965827305777	29.78584205221864	4	83.0	2	10	1
70	6	99.80940079309934	35.658215593638495	6	69974.0	5	10	1
71	7	244.23478837357766	44.756996982021164	7	72.0	2	10	1
72	1	273.1145069502864	1.5	1	15.0	1	11	1
73	2	152.70441474776993	3.106157551139205	2	413.0	3	11	1
74	3	123.12476827587142	0.0	1	15.0	1	11	1
75	4	195.49124490759672	4.2500765759674	2	413.0	3	11	1
76	5	225.41021976099242	10.349239995009999	3	69974.0	5	11	1
77	6	328.36199543256413	15.776421812098707	4	80.0	2	11	1
78	7	155.56268526661452	27.233530205964637	6	3036.0	3	11	1
79	8	100.41806341648883	29.88394743380146	7	76.0	2	11	1
80	9	164.65305404827458	36.815771728737865	8	16.0	1	11	1
81	10	177.08438676338025	33.06632254444117	8	16.0	1	11	1
82	11	151.2776526901678	58.2095190414846	11	62.0	2	11	1
83	1	304.62029077950166	1.0	1	13.0	1	12	1
84	2	285.8653625172575	11.638696918499745	3	15.0	1	12	1
85	3	137.4361754164657	20.19674842736344	5	54.0	2	12	1
86	4	184.8245444592625	24.438281044592998	5	54.0	2	12	1
87	5	297.9225880937714	31.93294335300213	6	267.0	2	12	1
88	6	255.4343567342439	38.83386599728234	7	59.0	2	12	1
89	7	277.3919322656783	45.61991642741043	8	680.0	3	12	1
90	8	130.33473581439713	60.546402097854894	12	498.0	3	12	1
91	1	297.62882019143666	2.5	1	1.0	0	13	1
92	2	260.0623500432723	8.49414846851362	2	28850.0	4	13	1
93	3	259.48805990073646	13.094885830762035	4	161.0	2	13	1
94	4	404.92088994732177	31.360019345885856	7	16.0	1	13	1
95	5	253.7590521463183	42.83225036197909	9	2670.0	3	13	1
96	1	240.52385514101573	2.0	1	83.0	2	14	1
97	2	304.7350359498554	8.187381700675727	3	834.0	3	14	1
98	3	144.90206592588177	11.00253290671245	3	834.0	3	14	1
99	4	134.1920605043652	15.656310328782919	4	937.0	3	14	1
100	5	192.27201913250124	20.971928716531295	5	22.0	1	14	1
101	6	123.85850347428718	26.205691356214604	7	69974.0	5	14	1
102	7	169.190578351848	32.55766404756611	8	44.0	2	14	1
103	8	148.97560206344852	38.68207096565683	9	103.0	2	14	1
104	9	152.15599255975087	49.39266131883833	10	69974.0	5	14	1
105	1	279.06810117783755	1.5	1	69974.0	5	15	1
106	2	260.3682873817041	6.9701227927178655	2	7.0	1	15	1
107	3	342.33307297399165	11.463061868834176	3	10.0	1	15	1
108	4	355.57230724915803	24.675680572289213	5	32.0	1	15	1
109	5	188.16892638424133	36.79606275588556	7	58.0	2	15	1
110	6	110.63810750156235	41.02257785365791	7	58.0	2	15	1
111	7	298.7214339932028	48.14235421650383	8	2.0	0	15	1
112	1	191.02767347073416	1.5	1	69974.0	5	16	1
113	2	149.54412885850616	6.13928729709831	2	57.0	2	16	1
114	3	379.3908262379154	14.342035426706772	3	1.0	0	16	1
115	4	195.12745120300536	19.82623316758172	4	1068.0	3	16	1
116	5	232.58414422449485	29.06221489345014	6	66.0	2	16	1
117	6	120.26611166558831	38.42684641052971	7	2.0	0	16	1
118	7	213.07997928164056	43.34768757566054	9	9816.0	4	16	1
119	8	285.60989303673136	51.856516417284155	10	71.0	2	16	1
120	1	263.23049989538566	1.5	1	69974.0	5	17	1
121	2	117.66496252649881	5.405678329111561	2	351.0	3	17	1
122	3	228.25003884502237	12.753279901128051	3	570.0	3	17	1
123	4	187.87606199550936	17.72092835913335	4	10593.0	4	17	1
124	5	300.02534238544257	23.88133186617477	5	37.0	2	17	1
125	6	222.8486867480637	27.753680292486976	6	78.0	2	17	1
126	7	294.23029958456885	35.41110087852587	7	28850.0	4	17	1
127	8	213.15155581010336	40.31353713070796	8	1.0	0	17	1
128	9	205.829773051342	49.2496088974065	10	1.0	0	17	1
129	1	297.2266553281039	1.5	1	845.0	3	18	1
130	2	235.48122732500445	6.668693415806289	2	72.0	2	18	1
131	3	232.05997658070703	11.735248048260507	3	398.0	3	18	1
132	4	211.35431708901598	18.333476952384768	4	6994.0	4	18	1
133	5	154.618262350323	23.310812397081857	6	26155.0	4	18	1
134	6	222.37308080657343	29.68580878438303	7	445.0	3	18	1
135	7	94.83120743769173	39.72189248972638	9	59.0	2	18	1
136	8	226.37025633509563	47.47174993242877	11	1.0	0	18	1
137	9	134.58080940563775	51.28520757369124	12	69974.0	5	18	1
138	1	214.72601788672281	1.5	1	69974.0	5	19	1
139	2	288.4551284870378	7.418892119168432	2	5.0	1	19	1
140	3	128.67135535302657	15.84258184920068	3	216.0	2	19	1
141	4	128.5163525245503	11.007611762594381	3	216.0	2	19	1
142	5	440.0528852494931	16.069299237058488	3	216.0	2	19	1
143	6	100.28310867163546	26.554678199812464	5	585.0	3	19	1
144	1	222.7578902911352	1.5	1	69974.0	5	20	1
145	2	178.45084315950572	7.70892819844949	2	36.0	2	20	1
146	3	282.4142737733499	14.957354312250608	3	49.0	2	20	1
147	4	210.046183797851	19.444882501369793	4	173.0	2	20	1
148	5	122.99361448027324	31.211123759326746	6	12.0	1	20	1
149	6	329.11533949849047	34.51265415418261	6	12.0	1	20	1
150	7	289.5780000206564	46.06590027697342	9	244.0	2	20	1
151	1	278.08930876414775	2.0	1	87.0	2	21	1
152	2	270.91128374409146	11.16952073135839	3	69974.0	5	21	1
153	3	201.37837448107996	15.219243909796237	4	1748.0	3	21	1
154	4	277.50512509014425	22.832411993294386	5	4.0	1	21	1
155	5	219.5501027223086	27.378756408120278	6	2252.0	3	21	1
156	6	230.73905842540609	35.41639515236598	7	36.0	2	21	1
157	7	138.89928584789968	45.778502435602576	9	143.0	2	21	1
158	8	227.47676516383808	48.6823488393843	9	143.0	2	21	1
159	9	278.4728541635165	55.955893181702024	10	90.0	2	21	1
160	1	217.63890245908033	1.5	1	69974.0	5	22	1
161	2	270.31095712422035	7.686964390405377	2	1.0	0	22	1
162	3	262.9029043352153	15.476344405369387	3	67.0	2	22	1
163	4	374.5828586048717	24.877971869950912	5	119.0	2	22	1
164	5	190.37021952497034	28.870651779892	6	28850.0	4	22	1
165	6	213.7742234831805	34.83786051634238	7	49.0	2	22	1
166	7	273.1130045592047	44.27172953179566	8	6.0	1	22	1
167	1	302.47830842369206	2.5	1	11.0	1	23	1
168	2	258.2439537403986	7.4978098387432075	2	9816.0	4	23	1
169	3	188.60159898374187	12.8848500178558	3	145.0	2	23	1
170	4	147.2283056737155	19.674117785636714	5	69974.0	5	23	1
