	fixationN	duration	position	wordN	freq	freqClass	sentenceN	runN
135	5	265.57698386268794	29.658440537469126	5	78	1	16	0
136	6	184.99513294422422	35.31739056883718	6	28850	4	16	0
137	7	375.6988954196055	41.120962921861995	7	1	0	16	0
138	8	170.0754023484069	49.00783453530487	9	1	0	16	0
139	0	324.74179570431954	2.5	0	845	2	17	0
140	1	269.9735400715647	14.055919762809005	2	398	2	17	0
141	2	185.31855543543048	19.817385466721856	3	6994	3	17	0
142	3	228.97003163068547	22.948735028913145	4	165	2	17	0
143	4	199.59044202344282	27.28044394314876	6	445	2	17	0
144	5	157.29368520416	31.348730746630572	6	445	2	17	0
145	6	150.52584277358451	38.59487797667422	8	59	1	17	0
146	7	169.01174686898344	44.26653560750895	9	28850	4	17	0
147	8	91.15341809145133	39.81906978996838	8	59	1	17	0
148	9	109.63917052176399	44.39580119110364	9	28850	4	17	0
149	0	200.97067370881962	2.5	0	69974	4	18	0
150	1	145.49142097103817	5.663522780624162	1	5	0	18	0
151	2	155.50111056263592	9.402002947652155	1	5	0	18	0
152	3	154.23368147192542	18.041759466856817	2	216	2	18	0
153	4	253.91226502355056	23.044993877354926	3	30	1	18	0
154	5	215.34930768270306	28.750697936997696	4	585	2	18	0
155	0	255.11108281261022	2.5	0	69974	4	19	0
156	1	296.73057340335123	7.877785132650984	1	36	1	19	0
157	2	241.85143482574478	13.095446539268877	2	49	1	19	0
158	3	305.89345185261953	18.806245111506392	3	173	2	19	0
159	4	181.31786212891316	26.57306010924088	4	223	2	19	0
160	5	140.27710504818802	34.00616669873076	5	12	1	19	0
161	6	199.5757087675455	38.101841787744505	5	12	1	19	0
162	7	207.14995587121126	43.06290006935843	6	1789	3	19	0
163	8	146.6148042681468	46.75936091080024	8	244	2	19	0
164	9	257.2092840699568	50.83924727614497	8	244	2	19	0
165	10	179.9225279041739	67.63091221902181	11	86	1	19	0
166	0	259.8206514996317	3.0	0	87	1	20	0
167	1	283.4656728850878	7.692119200274629	1	9816	3	20	0
168	2	197.51355815272302	11.999742499295152	2	69974	4	20	0
169	3	306.70694427023125	22.40256097593645	4	4	0	20	0
170	4	293.2486763566542	29.484009095624845	5	2252	3	20	0
171	5	303.1868810752345	37.10330458206895	6	36	1	20	0
172	6	126.97647912660787	44.87243962260103	8	143	2	20	0
173	7	223.40456297682726	49.930599751139226	8	143	2	20	0
174	8	195.38105882812025	56.9717151033794	9	90	1	20	0
175	9	125.98077201068546	59.56060354702406	10	21335	4	20	0
176	0	221.34059114608857	2.5	0	69974	4	21	0
177	1	350.3030196634223	9.717934932793021	1	1	0	21	0
178	2	169.83110088365356	14.067946177012438	2	67	1	21	0
179	3	279.9476771065734	19.32930049168474	3	69974	4	21	0
180	4	306.96016701118873	37.14810488377901	6	49	1	21	0
181	5	218.98016016743549	41.50133928588007	7	6	0	21	0
182	6	129.3194110858661	46.05645321509149	7	6	0	21	0
183	0	359.5517558326069	3.5	0	11	1	22	0
184	1	177.71228908851765	9.325760114169558	1	9816	3	22	0
185	2	167.8566645488952	15.090236140067137	3	26155	4	22	0
186	3	233.50443476951696	19.348754894195462	4	69974	4	22	0
187	4	320.18721906362686	28.96782968262528	5	1	0	22	0
188	5	111.62850097285913	44.4849968222961	7	883	2	22	0
189	6	120.93495163162953	50.16571120172775	8	9547	3	22	0
190	7	120.09494312556777	54.111429174998314	9	1	0	22	0
191	0	223.884644563014	3.0	0	1159	3	23	0
192	1	269.87826817576763	7.518734419043262	1	239	2	23	0
193	2	235.43297958754036	17.879119943792002	2	25	1	23	0
194	3	259.1533085900739	24.24383683252836	3	86	1	23	0
195	4	148.41367481815942	34.17885734629915	5	343	2	23	0
196	5	131.3938124897374	29.307674304648945	3	86	1	23	0
197	6	162.935921986833	37.81742425457953	5	343	2	23	0
198	7	210.0550314469854	47.46365846583358	7	145	2	23	0
199	0	257.2805732427769	2.5	0	69974	4	24	0
200	1	247.74634996879155	8.464966900212339	1	1	0	24	0
201	2	159.21005904845873	16.35713657981622	2	9816	3	24	0
202	3	127.2055314981981	20.0046956650649	3	24	1	24	0
203	4	183.26976791044228	15.311809436530638	2	9816	3	24	0
204	5	181.8205521594521	30.802935231935393	4	2333	3	24	0
205	6	147.9222992331587	36.123196047031456	6	1	0	24	0
