	fixationN	duration	position	wordN	freq	freqClass	sentenceN	runN
93	1	227.90930587645659	1.0	1	13.0	1	12	1
94	2	151.83683718656636	5.044462107568668	2	9816.0	4	12	1
95	3	147.87548990434675	13.019381716710033	3	15.0	1	12	1
96	4	149.78342187659683	8.409425204208185	3	15.0	1	12	1
97	5	157.38209469723864	19.18361727802454	5	54.0	2	12	1
98	6	228.688304657704	24.158767524775655	5	54.0	2	12	1
99	7	211.2555072307347	31.44700315094799	6	267.0	2	12	1
100	8	236.19413582378542	37.434246028669314	7	59.0	2	12	1
101	9	294.3040132095092	46.04009079420878	8	680.0	3	12	1
102	10	296.4421262123475	57.03378447147419	11	21335.0	4	12	1
103	1	345.75356182392443	2.5	1	1.0	0	13	1
104	2	308.3879972098781	8.326542861813191	2	28850.0	4	13	1
105	3	127.63186341940869	11.371791494154255	3	3036.0	3	13	1
106	4	315.2581451670087	24.104635344766326	5	508.0	3	13	1
107	5	457.1009495297025	31.879265824882253	7	16.0	1	13	1
108	6	222.61117013332645	37.83007404436494	8	9489.0	4	13	1
109	7	181.15100135651988	43.89488081769188	9	2670.0	3	13	1
110	8	168.93796081580345	51.487414163293465	10	134.0	2	13	1
111	1	227.30946373243432	2.0	1	83.0	2	14	1
112	2	241.04129038605902	7.492633656667162	2	438.0	3	14	1
113	3	226.31528412540084	12.293270571100367	4	937.0	3	14	1
114	4	146.2753257503192	20.37113826372002	5	22.0	1	14	1
115	5	110.08887258865147	15.800045042265648	4	937.0	3	14	1
116	6	256.82673656497917	18.854910900146805	5	22.0	1	14	1
117	1	259.53486181692745	1.5	1	69974.0	5	15	1
118	2	257.0903092943244	7.073818133488834	2	7.0	1	15	1
119	3	166.08882385772148	14.365370635817108	3	10.0	1	15	1
120	4	143.42486434841138	20.732417870887765	4	3286.0	4	15	1
121	5	141.35956849690217	16.55042159912606	4	3286.0	4	15	1
122	6	347.7973725438238	20.280252726604907	4	3286.0	4	15	1
123	7	326.81731378213254	39.120908052071854	7	58.0	2	15	1
124	8	290.33166522648673	48.17726234318968	8	2.0	0	15	1
125	9	197.22035075256403	57.542584212339904	10	355.0	3	15	1
126	1	272.4660917897025	1.5	1	69974.0	5	16	1
127	2	217.52791895747143	7.154476907288035	2	57.0	2	16	1
128	3	215.85334110520856	14.302677290949458	3	1.0	0	16	1
129	4	210.16955364605622	20.30975771383595	4	1068.0	3	16	1
130	5	292.36254684995237	28.718614807852248	6	66.0	2	16	1
131	6	303.68600006291075	41.39438070628714	8	2252.0	3	16	1
132	7	199.01278630244784	45.51862003227096	9	9816.0	4	16	1
133	8	259.62301451569016	52.94536102899276	10	71.0	2	16	1
134	1	227.57299895137288	1.5	1	69974.0	5	17	1
135	2	259.8721781078264	6.794650389220104	2	351.0	3	17	1
136	3	132.30130486889402	13.58156722850449	3	570.0	3	17	1
137	4	132.3734699589729	19.341228738270487	5	37.0	2	17	1
138	5	233.38557350882581	24.59950845932253	5	37.0	2	17	1
139	6	215.79325495357025	29.8863015634262	6	78.0	2	17	1
140	7	230.51142878745333	36.28233510866839	7	28850.0	4	17	1
141	8	250.0954975055428	43.35325102119155	8	1.0	0	17	1
142	9	251.60183992257546	51.595213556495764	10	1.0	0	17	1
143	1	342.86213270725983	1.5	1	845.0	3	18	1
144	2	152.99117697566112	8.129899149007125	2	72.0	2	18	1
145	3	274.8744287359418	13.436114154379794	3	398.0	3	18	1
146	4	288.1254996965604	17.89818269078013	4	6994.0	4	18	1
147	5	228.69329110967553	22.42390950560828	5	165.0	2	18	1
148	6	277.1119260889417	29.895085044946153	7	445.0	3	18	1
149	7	153.05473001580737	38.82763015771334	9	59.0	2	18	1
150	8	219.95191129194075	41.06415314142413	9	59.0	2	18	1
151	9	143.24451897224014	46.937769676437156	10	28850.0	4	18	1
152	10	140.50768432969008	51.22014549177035	12	69974.0	5	18	1
153	1	259.0131433724453	1.5	1	69974.0	5	19	1
154	2	128.90687959648488	6.354648385883033	2	5.0	1	19	1
155	3	395.09644454257534	14.714405762640759	3	216.0	2	19	1
156	4	249.6838123887565	23.63075908027122	4	30.0	1	19	1
157	5	139.36542102963975	28.122903379998412	5	585.0	3	19	1
158	6	178.45278504073738	33.842101122657446	6	69974.0	5	19	1
159	1	265.8680733899878	1.5	1	69974.0	5	20	1
160	2	159.73358570455366	7.127166121324721	2	36.0	2	20	1
161	3	220.18706169741478	12.694377635195266	3	49.0	2	20	1
162	4	227.41043936586803	16.766219417923516	4	173.0	2	20	1
163	5	316.03575366059977	26.229021826919023	5	223.0	2	20	1
164	6	283.3780070875036	34.89416713990384	6	12.0	1	20	1
165	7	143.9709683687899	39.2277751150422	7	1789.0	3	20	1
166	8	291.92593047495734	45.30171113911951	9	244.0	2	20	1
167	9	218.55357965889948	50.687753677520455	9	244.0	2	20	1
168	1	263.8476192853153	2.0	1	87.0	2	21	1
169	2	199.9817365964293	6.549270035438792	2	9816.0	4	21	1
170	3	233.05995852518072	10.544758004351568	3	69974.0	5	21	1
171	4	209.46800791394435	16.52281045856496	4	1748.0	3	21	1
172	5	264.5366599869023	22.917561543406478	5	4.0	1	21	1
173	6	324.72968704019985	35.56070257824615	7	36.0	2	21	1
174	7	354.6368656173826	45.918430195330316	9	143.0	2	21	1
175	8	408.9948138135081	59.591213727134125	12	212.0	2	21	1
176	1	352.30800564027965	1.5	1	69974.0	5	22	1
177	2	187.64011654543302	11.378872730567048	3	67.0	2	22	1
178	3	271.85253158152995	14.770009870605154	3	67.0	2	22	1
179	4	281.7644075575418	20.08894308963189	4	69974.0	5	22	1
180	5	171.57084916464115	38.73344297764821	7	49.0	2	22	1
181	6	149.8902850371784	35.74745206452054	7	49.0	2	22	1
182	7	118.37360058902263	40.63277359042905	8	6.0	1	22	1
183	8	134.8002190146749	46.69094897231554	8	6.0	1	22	1
184	1	306.3718060510025	2.5	1	11.0	1	23	1
185	2	224.61366770735893	7.7669928644675235	2	9816.0	4	23	1
186	3	261.83322407148114	12.091489656820576	3	145.0	2	23	1
187	4	395.6385349671575	26.580760513159035	6	1.0	0	23	1
188	5	181.48861757447725	46.96085654839676	8	883.0	3	23	1
